"","state_county","trump","biden","others"
"1","alabama,autauga",19838,7503,429
"2","alabama,baldwin",83544,24578,1557
"3","alabama,barbour",5622,4816,80
"4","alabama,bibb",7525,1986,84
"5","alabama,blount",24711,2640,237
"6","alabama,bullock",1146,3446,21
"7","alabama,butler",5458,3965,65
"8","alabama,calhoun",35101,15216,666
"9","alabama,chambers",8753,6365,166
"10","alabama,cherokee",10583,1624,94
"11","alabama,chilton",16085,3073,152
"12","alabama,choctaw",4296,3127,41
"13","alabama,clarke",7324,5755,56
"14","alabama,clay",5601,1267,62
"15","alabama,cleburne",6484,675,68
"16","alabama,coffee",16899,5076,300
"17","alabama,colbert",19203,8343,340
"18","alabama,conecuh",3442,2966,33
"19","alabama,coosa",3631,1796,52
"20","alabama,covington",14586,2721,123
"21","alabama,crenshaw",4864,1700,53
"22","alabama,cullman",36880,4478,493
"23","alabama,dale",14303,5170,265
"24","alabama,dallas",5524,12230,110
"25","alabama,dekalb",24767,4281,308
"26","alabama,elmore",30164,10367,499
"27","alabama,escambia",10869,4918,123
"28","alabama,etowah",35528,11567,633
"29","alabama,fayette",7300,1395,71
"30","alabama,franklin",10376,2086,116
"31","alabama,geneva",10848,1595,102
"32","alabama,greene",875,3884,16
"33","alabama,hale",3190,4687,45
"34","alabama,henry",6607,2606,85
"35","alabama,houston",32618,12917,638
"36","alabama,jackson",19670,3717,249
"37","alabama,jefferson",138843,181688,5317
"38","alabama,lamar",6174,978,41
"39","alabama,lauderdale",31721,11915,703
"40","alabama,lawrence",12322,3562,147
"41","alabama,lee",42221,27860,1368
"42","alabama,limestone",34640,13672,923
"43","alabama,lowndes",1836,4972,27
"44","alabama,macon",1541,7108,74
"45","alabama,madison",102780,87286,4701
"46","alabama,marengo",5343,5488,69
"47","alabama,marion",12205,1463,139
"48","alabama,marshall",33191,5943,521
"49","alabama,mobile",101243,79474,2447
"50","alabama,monroe",6147,4455,66
"51","alabama,montgomery",33311,64529,1299
"52","alabama,morgan",39664,13234,824
"53","alabama,perry",1339,3860,31
"54","alabama,pickens",5594,4022,52
"55","alabama,pike",8042,5636,163
"56","alabama,randolph",8559,2203,75
"57","alabama,russell",9864,11228,237
"58","alabama,st. clair",36166,7744,531
"59","alabama,shelby",79700,33268,1982
"60","alabama,sumter",1598,4648,45
"61","alabama,talladega",22235,13138,290
"62","alabama,tallapoosa",14963,5859,169
"63","alabama,tuscaloosa",51117,37765,1290
"64","alabama,walker",26002,4834,334
"65","alabama,washington",6564,2258,54
"66","alabama,wilcox",1833,4048,22
"67","alabama,winston",10195,974,115
"68","arizona,apache",23293,11442,448
"69","arizona,cochise",23732,35557,1184
"70","arizona,coconino",44698,27052,1596
"71","arizona,gila",8943,18377,358
"72","arizona,graham",4034,10749,213
"73","arizona,greenlee",1182,2433,73
"74","arizona,la paz",2236,5129,95
"75","arizona,maricopa",1040774,995665,33036
"76","arizona,mohave",24831,78535,1339
"77","arizona,navajo",23383,27657,743
"78","arizona,pima",304981,207758,7996
"79","arizona,pinal",75106,107077,2854
"80","arizona,santa cruz",13138,6194,229
"81","arizona,yavapai",49602,91527,2151
"82","arizona,yuma",32210,36534,1182
"83","arkansas,arkansas",4304,1818,170
"84","arkansas,ashley",5548,2125,253
"85","arkansas,baxter",15836,4635,536
"86","arkansas,benton",73965,42249,3698
"87","arkansas,boone",13652,3064,398
"88","arkansas,bradley",2335,1214,105
"89","arkansas,calhoun",1636,479,67
"90","arkansas,carroll",7424,4023,350
"91","arkansas,chicot",1752,2260,91
"92","arkansas,clark",4616,3438,341
"93","arkansas,clay",4086,962,135
"94","arkansas,cleburne",10328,1988,364
"95","arkansas,cleveland",2867,651,82
"96","arkansas,columbia",5500,2814,302
"97","arkansas,conway",5694,2615,376
"98","arkansas,craighead",25558,11921,1032
"99","arkansas,crawford",18607,4959,525
"100","arkansas,crittenden",7333,8514,520
"101","arkansas,cross",4946,1772,224
"102","arkansas,dallas",1573,963,113
"103","arkansas,desha",1921,2016,227
"104","arkansas,drew",4349,2426,133
"105","arkansas,faulkner",34421,18347,1660
"106","arkansas,franklin",5677,1300,152
"107","arkansas,fulton",3961,1035,123
"108","arkansas,garland",29069,14045,1085
"109","arkansas,grant",6794,1268,138
"110","arkansas,greene",12670,3058,372
