,US Customer Name,US Review title,US Ratings,Reviews
0,amanda,"Good for small hands, but brittle",2.0 out of 5 stars,"  I have pretty small hands, even for a lady.  I like the Nalgene bottles but the circumference is usually too large for me to feel comfortable carrying it other than by the strap.  I sometimes get sloshed in the face when drinking from the wide mouth bottles.  In my search for a water bottle I could take to client meetings and not feel embarrassed about, I looked at many options, even the glass bottles.  However, none of them compared with the KOR ONE bottle.  This thing is elegantly designed and narrow enough for me to grab without having to use two hands.  This is a well designed bottle!  When you flip the top back, it clicks in place and won't flop forward onto your face when you're drinking.  When closed, the cap is secure and doesn't leak.  It opens again easily by the push of a button.  There's also a little band of rubber at the bottom for a non-slip grip.  The product description tells of all the features and they are all accurate.  The grips are non-slippery, the top stays back when you're drinking, the water doesn't taste plastic-y by the end of the day and it stays classy looking because there's no paint or design to start peeling off the side.  There's a small logo like a water drop at the bottom and the top of the cap says KOR ONE but I appreciate that I'm not advertising every time I take a drink.Update: I LOVED this bottle! But, it fell out of my trunk onto the garage floor and the hinge cracked, making it useless. I have to update my review because this bottle is too expensive to break so easily. I just can't feel good about replacing after a month...and it can't survive a short drop."
1,P Guerra,"MOTIVATIONAL bottle!!! Great quality, I love it.",5.0 out of 5 stars,"  This is my bottle for days when I'm hiking or I need bigger quantity of water on the go!!! It also works perfectly for cold green tea!!! I love the quality of KOR products, I just bought a bunch of their bottles and water filter system for my home. They are BPA free and also very convenient to use. My favorite thing about this specific model is that it comes with motivational messages when you open the cap, so you can always keep motivated while being hydrated!!!!"
2,Kimani Griffin,A must have in Florida,5.0 out of 5 stars,"  I had been eye balling this Water Bottle since Early January. Of course my only concern at the time was the price. But after finally buying one, I wish I would've bought one months ago!I love this thing! Not only is it ergonomic But it's really stylish and functional. The top clicks into place and has a silicon seal for the lip of the bottle. So there's no leaks. And best of all, the base has a silicon bottom so it's less likely to tip over.However my favorite part is its iconic design. Something about just makes you want to consume MORE water. Since I've bought one. I'll fill mine atleast 4 times a day. Really great way to stay hydrated.All in all, if you're in Florida you NEED this. This is an extremely iconic, durable, and superior water vessel that's unlike anything in its category.I'll definitely recommend this."
3,Jonathan Miller,Quality has declined; prone to lid locking failures,2.0 out of 5 stars,"  The quality of this water bottle has declined. I used the same model/brand in the past. Perhaps there are some production problems? The lid does not properly close. Having used this bottle for the past few weeks, I have had problems insuring that the lid locks into place. It is also quite easy to accidentally open the lid. As a result, I sometimes spill water on myself or my gym bag. Because it is a small gap in the fitting, it is not readily noticeable until you realize it is leaking. I purchased this water bottle as a replacement for the exact same model/brand that I had used for years, but it is not nearly as well made. As a result, I need to give this bottle a two star rating. It is usable but not reliable, and I will be looking for a replacement."
4,X-Sparker,"Solidly made bottle, bigger than expected",4.0 out of 5 stars,"  This bottle is bigger than I anticipated. But it is very nice and seems to be well made, although the hinge part feels a little flimsy like it could break easily. It is not easy to open this bottle single-handed and the mouth where you drink from is quite big so you could splash water around if you are actively moving while trying to drink from it. Overall I'd say this is a good buy, but not the best considering the high price point."
5,Christin Lilly,easy to use and I love the spout for drinking,5.0 out of 5 stars,"  This is a fairly heavy water bottle.  It is well built, easy to use and I love the spout for drinking.  I wouldn't recommend this for hiking, since it is on the heavier side, but this is a great take and use bottle for daily errands, office work, etc...  The color is soothing and the bottle is easy to hold. Love how the lid stays securely in place and the drinking spout stays covered and keeps germs away!"
6,Richard Scott,It's just a water bottle.. ..right?,5.0 out of 5 stars,"  I recently picked up the (r)Egrets bottle (green one with the pictures embossed), and I've been really pleased with it.First, I should mention that this thing is a lot bigger than I thought it would be. I was expecting, well, a normal-sized water bottle. Something I didn't notice/realize/appreciate was that it's just under a foot tall. If you have a limited height area, you'll just have to lay it on its side.I've traveled with this thing, packing it in my carry-on. I've done a fair bit of walking and done some accidental dropping. It's not even been phased, this sucker is well-built and feels bulletproof. The top is very secure, and the seal didn't even have anything spilling into the top portion of it. The weight of the top is more than enough to keep it from flipping closed; I've gotten into the habit of flicking my wrist to close the top. My girlfriend was prompted to ask me if this was my 'new zippo', since I have a knack of figuring out clever hand tricks for opening/closing objects in this style.The mouth opening is smooth, and wide. It's got a very comfortable taper, and I just recently started feeding it ice. There's no cramming or mess, as the mouth is wide enough to take a standard ice machine cube without issue. No word on ice-tray cubes.The only detraction that I'd have is that you do have to get used to how the button for opening it works. You often have to ensure you hit it dead-center, or one of the two side releases won't disengage fully. But, I mean, if the worst thing you can come up with for a water bottle is that it's slightly harder to break the seal on it, well..."
7,Lucy,Unique and wonderful to drink from,4.0 out of 5 stars,  I have had this water bottle for at least 6 months now maybe longer.  My husband received it for free at a plastics trade show.  Lucky me!  I love the mouth on it.  Its smooth and easy to drink from.  It takes ice cubes from my ice maker and it fits in the drink holder in my car.  I have a collapsible part inside the drink holder of my car that makes room for a larger cup and it fits just fine.  I play tennis at least 3 times a week and always get compliments on it and have people asking me where they can get one.  I have dropped it on pavement twice and not had any cracking or leaks but sadly this week in a rush to fill it I knocked it off the counter with the lid open and the lid broke right off.  That's the reason for the 4 instead of 5 stars. I thought maybe I would get something different since I didn't even know the name of this one.  I just did a general water bottle search and after looking at the Sigg and couple of other metal ones I realized I kept looking for one that had a mouth like the one I threw in the trash on Monday.  The next site that said it had water bottles was Amazon and there it was my water bottle. I know mine broke but I'm going to get another one right now.  I hate the one Ive been using.  I don't like having to unscrew the top and Ive had the one with the straw in it and it was really hard to clean.  This bottle is easy to clean and I can see if its dirty on not.  Anyway its not unbreakable but it was pretty durable and I love drinking from it.  Now I can tell all the people who have asked me about it where to get one.
8,Suhail S,Very interesting bottle,4.0 out of 5 stars,"  The bottle is of very good quality. I got the onyx color, and I really like the color of the trim and the main plastic portion of the bottle. The only thing that I dislike is that the hinge feels like it is a little bit flimsy, and I could do with out the ""kor stone"" thing. Also the bottle in the onyx black color will show a lot of scratches, the bottle got many little micro scratches on the first day, jut being in my bag. But overall, it is a great bottle thats just a little different from the rest."
9,Buyer,Poor Build Quality - Engineered to Last 8 months or Less,1.0 out of 5 stars,"  **UPDATE**10/03/2012Changed from 3 to 1 stars.Changed the title from ""It's ok"" to what it is now.After dropping and breaking my first KOR bottle I bought another.  Through normal wear and tear one of the latches that keeps the top closed broke and it no longer stays closed, so it's in my recycle bin.  No drops, no abuse, in fact, I was hyper-careful with it since I broke my first one.  Clearly these guys make a poorly designed product.  I would not recommend anyone buy this water bottle.  Maybe they've fixed these design flaws in updated designs but this one is dud.**END UPDATE**I bought this water bottle mainly because I wanted a BPA-free alternative to the small 12oz water bottles I kept drinking out of (and recycling, and by the way they tasted like plastic and that was gross).  Here are my pros and cons:Pros - Stylish (get lots of complements, I jokingly call it my iWaterBottle) - BPA-freeCons - DOES NOT FIT IN NORMAL ROUND CAR CUP HOLDERS (someone said it fit in car cup holders and I was very disappointed that it didn't) - FragileI'm giving it 3 stars because the oval base does NOT fit in my car cup holder (or any other that I have tried) and because it didn't survive a fall very well.  Yes, I know, it's MY bad that I dropped it but one fall from less than 4 feet and it broke the lid and bent the hinge.  I was able to make it work for a couple more months but then one of the plastic hooks in the lid (that make the seal tight) broke and it leaked water all over the place.  My nalgene bottle, on the other hand, has taken several 4+ foot falls, has been on numerous camping trips, and is still doing great -- but it's not BPA-free.If you want a stylish water bottle that people will comment on, and you can protect this thing, then by all means buy it.  If you are hard on your gear I say skip it and get a BPA bicycle water bottle or something like that which can take a licking and keep on ticking.Cheers."
